track_number,title,artists,genre,filename,mp3_name,filepath,audio_path,energy,labeled_bpm,labeled_bpm_missing,tempo_embedding_bpm,tempo_embedding_confidence,key,bpm,onset-time,key shift,tempo_embedding_confidence_active_agreement,tempo_embedding_mean_active_probability,tempo_embedding_active_fraction,tempo_embedding_active_windows,tempo_embedding_total_windows,source_duration_sec,peak30_start_sec,peak30_end_sec,peak30_window_rms_db,full_analysis_duration_sec,full_spectral_centroid_hz,full_spectral_spread_hz,full_spectral_tilt_db_per_oct,full_spectral_rolloff_05_hz,full_spectral_rolloff_85_hz,full_dynamic_range_db,full_rms_mean_db,full_rms_median_db,full_rms_std_db,full_rms_iqr_db,full_rms_range_db,full_rms_var,full_top_quartile_rms,full_top_quartile_rms_db,full_crest_factor_db,full_onset_density,full_onset_magnitude,full_integrated_loudness_lufs,full_short_term_loudness_mean_lufs,full_short_term_loudness_std_lu,full_short_term_loudness_range_lu,full_sub_band_energy_ratio,full_band_flux_sub,full_bass_band_energy_ratio,full_band_flux_bass,full_low_mid_band_energy_ratio,full_band_flux_low_mid,full_mid_band_energy_ratio,full_band_flux_mid,full_high_band_energy_ratio,full_band_flux_high,full_low_band_energy_ratio,full_beat_count,full_beat_rms_mean_db,full_beat_rms_std_db,full_downbeat_offbeat_energy_ratio,full_downbeat_phase_index,full_four_bar_phrase_energy_variance,peak30_analysis_duration_sec,peak30_spectral_centroid_hz,peak30_spectral_spread_hz,peak30_spectral_tilt_db_per_oct,peak30_spectral_rolloff_05_hz,peak30_spectral_rolloff_85_hz,peak30_dynamic_range_db,peak30_rms_mean_db,peak30_rms_median_db,peak30_rms_std_db,peak30_rms_iqr_db,peak30_rms_range_db,peak30_rms_var,peak30_top_quartile_rms,peak30_top_quartile_rms_db,peak30_crest_factor_db,peak30_onset_density,peak30_onset_magnitude,peak30_integrated_loudness_lufs,peak30_short_term_loudness_mean_lufs,peak30_short_term_loudness_std_lu,peak30_short_term_loudness_range_lu,peak30_sub_band_energy_ratio,peak30_band_flux_sub,peak30_bass_band_energy_ratio,peak30_band_flux_bass,peak30_low_mid_band_energy_ratio,peak30_band_flux_low_mid,peak30_mid_band_energy_ratio,peak30_band_flux_mid,peak30_high_band_energy_ratio,peak30_band_flux_high,peak30_low_band_energy_ratio,peak30_beat_count,peak30_beat_rms_mean_db,peak30_beat_rms_std_db,peak30_downbeat_offbeat_energy_ratio,peak30_downbeat_phase_index,peak30_four_bar_phrase_energy_variance
11,Hero,Martin Garrix/JVKE,,Martin Garrix; JVKE - Hero.mp3,Martin Garrix; JVKE - Hero.mp3,Martin Garrix; JVKE - Hero.mp3,music/warren/Martin Garrix; JVKE - Hero.mp3,,,True,84,0.82189178,,84,,,1,0.40630597,0.80000001,20,25,160.77497,88,118,-8.9785705,160.77497,2377.0142,2587.0119,-6.7750771,144.70079,5086.9448,14.404797,-14.631514,-11.902035,11.630767,6.5489521,128.16515,135.27474,0.40931732,-7.7587976,11.868279,3.2965331,4.3382806,-11.930491,-13.241887,5.0632794,47.757823,0.31125561,8.8405775,0.1254697,8.8667382,0.091211838,7.2886465,0.41480493,12.44172,0.052794426,6.108407,0.43672531,226,-12.869675,11.619761,1.1621209,3,0.007670489,30,2415.1178,2610.4573,-6.380584,76.257872,5233.9642,5.4133115,-9.4245262,-9.2299538,2.1086606,2.136425,17.733868,4.4464497,0.44246319,-7.0824571,9.8639489,5.2333333,3.451562,-10.282446,-10.29963,0.35755148,1.4028665,0.34357442,15.348077,0.1436271,15.127349,0.073363114,8.887799,0.37982603,14.26271,0.055113878,8.5203514,0.48720152,43,-7.9689021,1.4769399,1.2858714,0,8.1654495e-05
12,Ocean,Martin Garrix/Khalid,,Martin Garrix; Khalid - Ocean.mp3,Martin Garrix; Khalid - Ocean.mp3,Martin Garrix; Khalid - Ocean.mp3,music/warren/Martin Garrix; Khalid - Ocean.mp3,,,True,140,0.85916889,,140,,,1,0.53056306,0.80000001,28,35,216.47964,168,198,-9.1132764,216.47964,1953.4003,2256.2407,-6.5834973,133.55828,4190.7796,10.111204,-13.758324,-12.207256,11.205261,4.7242146,97.638847,125.55786,0.41666529,-7.6042536,11.072015,3.2705155,4.0546655,-11.864474,-13.083582,5.6720408,59.473045,0.19473859,6.3379478,0.14843315,9.6893999,0.24518091,11.440452,0.37587794,8.7453862,0.031036802,4.1423047,0.34317174,507,-12.319011,7.4495497,1.0385208,0,0.0040192375,30,2519.8944,2812.5786,-5.4797357,97.161912,5824.8898,4.8331513,-9.4580651,-9.3991222,1.8274949,1.9352837,12.773546,3.3397375,0.42894139,-7.3520409,9.3438853,4.4333333,4.3492095,-10.121878,-10.157851,0.62123343,2.3353304,0.090301353,9.7363945,0.16742049,15.761427,0.43667782,19.390383,0.26373734,9.7339413,0.036722337,6.9734418,0.25772184,71,-9.1382903,2.0954256,1.1317593,0,0.00017149546
13,Game Over,Martin Garrix/LOOPERS,,Martin Garrix; LOOPERS - Game Over.mp3,Martin Garrix; LOOPERS - Game Over.mp3,Martin Garrix; LOOPERS - Game Over.mp3,music/warren/Martin Garrix; LOOPERS - Game Over.mp3,,,True,128,0.97692144,,128,,,1,0.92307138,0.79166669,19,24,155.71302,34,64,-7.3037835,155.71302,2599.7406,2635.605,-5.5213727,87.606458,5634.4321,6.3544803,-8.8884671,-8.243783,3.2211254,2.3442497,66.307365,10.375649,0.49547596,-6.0995482,9.741412,3.724801,4.0759001,-9.4275892,-9.5743849,1.3009413,6.6466522,0.28604869,24.52747,0.23269653,31.500603,0.1339698,16.14298,0.27641587,13.55789,0.058542938,8.3311208,0.51874521,333,-7.4894226,3.9771204,1.0880002,0,0.0086625564,30,2752.6816,2822.573,-4.9595878,62.987119,6094.159,4.3739004,-7.5491498,-7.6286469,1.4672615,1.5078182,9.3127489,2.1528563,0.52379833,-5.6167178,8.7812689,5.5,3.4417094,-8.7219589,-8.7253276,0.26866897,0.93776659,0.30520586,30.248766,0.25709125,40.53474,0.1352033,19.512762,0.23251579,16.164372,0.056491519,9.0694837,0.56229712,64,-5.0642924,0.53855787,1.0754544,1,1.8991195e-05
14,Summer Days,Martin Garrix/Macklemore/Patrick Stump,,Martin Garrix; Macklemore; Patrick Stump - Summer Days.mp3,Martin Garrix; Macklemore; Patrick Stump - Summer Days.mp3,Martin Garrix; Macklemore; Patrick Stump - Summer Days.mp3,music/warren/Martin Garrix; Macklemore; Patrick Stump - Summer Days.mp3,,,True,114,0.93979561,,114,,,1,0.79931861,0.76923078,20,26,163.86322,77,107,-8.8650817,163.86322,2206.5737,2407.1348,-6.1117831,108.32501,4782.3153,10.91955,-13.560944,-12.232496,11.834032,5.9442196,234.4437,140.04431,0.42406573,-7.4513365,11.219756,3.0879413,4.7639276,-12.208685,-13.002565,3.7216696,36.111511,0.14216561,12.916447,0.22967894,13.788643,0.28391408,10.972324,0.2391209,9.5600885,0.035467786,4.4844911,0.37184455,312,-11.264603,8.0689744,1.0878072,0,0.015602883,30,2490.9483,2754.2634,-5.58302,60.162136,5631.8909,7.6420083,-9.7102655,-8.6077328,3.0513953,4.560782,19.372423,9.3110135,0.46372461,-6.674797,9.0053079,3.9,4.4948123,-10.671382,-10.670077,0.60069628,2.606547,0.19692702,25.029587,0.21716986,22.93327,0.23479679,14.865549,0.20577067,10.408255,0.033292916,5.2698242,0.41409687,58,-6.8521172,2.2009418,1.0764729,2,0.00057768731
15,Summer Days (Vintage Culture & Bruno Be Remix),Martin Garrix/Macklemore/Patrick Stump/Vintage Culture/Bruno Be,,Martin Garrix; Macklemore; Patrick Stump; Vintage Culture; Bruno Be - Summer Days (Vintage Culture & Bruno Be Remix).mp3,Martin Garrix; Macklemore; Patrick Stump; Vintage Culture; Bruno Be - Summer Days (Vintage Culture & Bruno Be Remix).mp3,Martin Garrix; Macklemore; Patrick Stump; Vintage Culture; Bruno Be - Summer Days (Vintage Culture & Bruno Be Remix).mp3,music/warren/Martin Garrix; Macklemore; Patrick Stump; Vintage Culture; Bruno Be - Summer Days (Vintage Culture & Bruno Be Remix).mp3,,,True,122,0.97400355,,122,,,1,0.9133451,0.77419353,24,31,195.86032,159,189,-8.3726491,195.86032,2725.0013,2650.8613,-5.5378604,139.41766,5822.9057,10.900064,-13.099571,-10.812404,10.955357,6.0892344,144.32854,120.01986,0.4165226,-7.6072286,11.543857,2.7825953,7.3242472,-11.56947,-12.485075,3.4979969,27.825079,0.2270984,14.565102,0.27981696,14.552924,0.12666713,11.062757,0.29998752,12.344292,0.055832219,9.1726779,0.50691536,398,-10.813238,7.6259497,1.0113026,1,0.013635632,30,2818.1295,2898.3186,-5.0491379,59.866305,6363.8074,3.5087829,-8.5377293,-8.4659472,1.2280571,1.4796629,9.0214901,1.5081242,0.44352726,-7.0615936,9.2585959,4.9666667,5.1930993,-10.04447,-10.055925,0.34067135,1.3103214,0.27175313,27.167973,0.33734137,23.241786,0.10251764,15.475891,0.22699769,16.399025,0.052382553,11.357375,0.6090945,62,-6.9801635,1.0620288,1.0546583,2,4.3500351e-05
16,Forever,Martin Garrix/Matisse & Sadko,,Martin Garrix; Matisse & Sadko - Forever.mp3,Martin Garrix; Matisse & Sadko - Forever.mp3,Martin Garrix; Matisse & Sadko - Forever.mp3,music/warren/Martin Garrix; Matisse & Sadko - Forever.mp3,,,True,128,0.97110075,,128,,,1,0.90366918,0.80000001,28,35,218.49977,60,90,-8.437009,218.49977,2429.2436,2271.1846,-5.484768,110.64225,5112.0358,7.6604013,-12.053499,-11.613297,4.8555504,3.992609,121.71993,23.57637,0.38425917,-8.3075153,12.94059,1.7162489,3.4600383,-11.120465,-11.833894,2.7511891,21.270939,0.15121536,7.0248669,0.14160761,9.1869518,0.070938378,7.3768559,0.53637098,8.1799419,0.089156761,3.1148374,0.29282297,468,-11.66187,7.5587859,1.043885,1,0.0086224701,30,3234.3066,2956.3756,-4.9706323,87.332805,7027.3742,3.0559282,-8.6110607,-8.4636078,1.3902934,1.4670968,14.881187,1.9329158,0.43484542,-7.2333021,10.215499,4.3,2.3421784,-9.0362982,-9.0271962,0.14819513,0.57324175,0.26704692,19.514242,0.17287588,21.768748,0.084291121,17.069621,0.36392439,9.8991422,0.099084846,3.3601515,0.4399228,65,-7.2636614,1.9145753,1.0386105,3,6.0312463e-05
17,Mistaken,Martin Garrix/Matisse & Sadko/Alex Aris,,Martin Garrix; Matisse & Sadko; Alex Aris - Mistaken.mp3,Martin Garrix; Matisse & Sadko; Alex Aris - Mistaken.mp3,Martin Garrix; Matisse & Sadko; Alex Aris - Mistaken.mp3,music/warren/Martin Garrix; Matisse & Sadko; Alex Aris - Mistaken.mp3,,,True,128,0.93519908,,128,,,0.99613398,0.79301757,0.78260869,36,46,282.54041,234,264,-8.1113083,282.54041,2239.3903,2357.7788,-6.0695738,115.5545,4727.3308,8.8615685,-12.196846,-11.185474,5.9566669,3.7834702,110.98766,35.48188,0.4045371,-7.8608329,12.223947,2.771285,2.9090076,-11.283662,-12.248082,3.7394627,32.59063,0.19500153,11.969471,0.20160163,10.091896,0.077921043,8.3411173,0.46812436,7.3963786,0.051353788,2.5669464,0.39660316,608,-11.415385,6.2680764,1.0384545,3,0.0113226,30,2939.2433,2921.7366,-5.2123538,76.420371,6706.1761,3.4522285,-8.3195406,-8.3548584,1.3796756,1.8624868,8.8666983,1.9035047,0.46625538,-6.6275228,9.5266611,5.5333333,2.222673,-9.1549894,-9.1569091,0.17930185,0.77530333,0.26034626,26.699106,0.27912389,19.953268,0.074423144,16.317477,0.30971837,9.2318902,0.068124264,3.8338381,0.53947015,64,-6.7619683,1.1710818,1.026758,1,0.00025840192
18,Together,Martin Garrix/Matisse & Sadko/Max McElligott,,Martin Garrix; Matisse & Sadko; Max McElligott - Together.mp3,Martin Garrix; Matisse & Sadko; Max McElligott - Together.mp3,Martin Garrix; Matisse & Sadko; Max McElligott - Together.mp3,music/warren/Martin Garrix; Matisse & Sadko; Max McElligott - Together.mp3,,,True,128,0.89831585,,128,,,0.9941327,0.67474312,0.80000001,28,35,221.27442,77,107,-8.6325903,221.27442,2452.8178,2382.7008,-5.7526818,156.05923,5148.1754,13.437844,-14.883907,-13.076197,11.820374,6.5489559,234.21823,139.72124,0.37717406,-8.4691636,13.628239,2.4675242,3.1502384,-11.918775,-13.707753,4.5820969,30.250259,0.16486109,7.7824647,0.13756308,7.1936181,0.067168694,6.5600193,0.52369734,7.36529,0.096900892,3.2397055,0.30242417,475,-14.01618,12.796655,1.0156393,1,0.014203086,30,3217.3759,2934.293,-5.051362,90.995283,6992.4827,3.9141288,-8.8307567,-8.9574852,1.2993719,1.7298307,6.6604671,1.6883674,0.44409392,-7.0505035,10.359701,5.2,2.109038,-9.2833392,-9.2977821,0.24312593,0.70670201,0.26260848,23.566486,0.19425673,18.704756,0.054001089,13.981726,0.36882563,8.2885176,0.10818873,3.5461494,0.45686522,65,-7.2643675,1.3210642,1.0324939,1,0.00036980159
19,Limitless,Martin Garrix/Mesto,,Martin Garrix; Mesto - Limitless.mp3,Martin Garrix; Mesto - Limitless.mp3,Martin Garrix; Mesto - Limitless.mp3,music/warren/Martin Garrix; Mesto - Limitless.mp3,,,True,126,0.97511733,,126,,,1,0.91705775,0.78260869,18,23,146.68154,110,140,-6.398616,146.68154,2451.3471,2627.0397,-5.1388616,104.41968,5550.8826,13.900337,-11.663531,-9.9736061,9.0048515,5.7827134,99.444588,81.087351,0.5492431,-5.2047078,10.137966,3.0133307,6.0603576,-10.540708,-11.989316,5.2935297,39.112854,0.39984453,18.54272,0.23523809,24.714907,0.16320021,17.525149,0.17202961,11.697586,0.022684418,5.2053743,0.63508262,308,-10.014365,10.231277,1.0642041,3,0.027639611,30,2999.8884,3113.0654,-4.2209441,72.603728,6888.3792,12.564816,-7.7913225,-6.4778266,4.5834126,3.3648553,28.551813,21.007671,0.62015687,-4.1499689,7.943125,4.2,7.5305022,-9.0224809,-9.1167476,1.3894429,7.4575014,0.52374689,37.893114,0.25716109,46.260609,0.079345679,29.422279,0.11001328,20.132946,0.020599914,10.400289,0.78090798,64,-5.5923382,4.7186722,1.1225038,1,0.0056828594
20,WIEE,Martin Garrix/Mesto,,Martin Garrix; Mesto - WIEE.mp3,Martin Garrix; Mesto - WIEE.mp3,Martin Garrix; Mesto - WIEE.mp3,music/warren/Martin Garrix; Mesto - WIEE.mp3,,,True,128,0.90797895,,128,,,1,0.69326311,0.78125,25,32,203.22104,61,91,-9.6030928,203.22104,2231.249,2521.091,-5.747939,88.439151,5096.0196,17.04615,-16.028446,-14.350283,12.05176,7.0711899,233.93982,145.24493,0.38584183,-8.2718139,12.272524,3.843106,5.2612394,-13.559025,-15.359269,4.9616098,34.00715,0.34035905,13.362313,0.25353686,15.318204,0.15818442,13.057831,0.19717261,10.185111,0.039651826,4.3470833,0.59389591,435,-14.7921,14.547792,1.0974509,2,0.013168461,30,2761.5982,2879.1013,-5.4195523,86.54531,6307.7744,8.3070984,-10.678166,-10.12696,3.9260513,3.3670835,24.777502,15.413879,0.43075214,-7.3154512,9.5258504,3.9666667,5.5846384,-11.390776,-11.460531,0.90185108,3.9708462,0.38189132,23.561746,0.25679533,22.628447,0.12145274,16.852039,0.18358478,13.253862,0.049851816,7.1765913,0.63868665,64,-9.6530897,3.942568,1.0582196,2,0.0009316204
