track_number,title,artists,mp3_name,filepath,key,bpm,onset-time,genre,key shift,source_mix,source_track_number
1,Used To Love,Martin Garrix/Dean Lewis,Martin Garrix; Dean Lewis - Used To Love.mp3,/Users/mamingchen/GitHub/djprojectexploration/music/warren/Martin Garrix; Dean Lewis - Used To Love.mp3,,119,,,,warren,1
2,Ocean (Don Diablo Remix),Martin Garrix/Don Diablo/Khalid,Martin Garrix; Don Diablo; Khalid - Ocean (Don Diablo Remix).mp3,/Users/mamingchen/GitHub/djprojectexploration/music/warren/Martin Garrix; Don Diablo; Khalid - Ocean (Don Diablo Remix).mp3,,123,,,,warren,2
