track_number,title,artists,mp3_name,filepath,key,bpm,onset-time,genre,key shift,source_mix,source_track_number
1,Flame,ARTBAT,flame.mp3,/Users/mamingchen/GitHub/djprojectexploration/music/aries-mix/flame.mp3,8A,127,0,melodic techno,0.0,aries-mix,17
2,Brainwasher,Nox Vahn,brainwasher.mp3,/Users/mamingchen/GitHub/djprojectexploration/music/aries-mix/brainwasher.mp3,8A,120,2.18,techno,0.0,aries-mix,11
