track_number,title,artists,mp3_name,filepath,key,bpm,onset-time,genre,key shift,source_mix,source_track_number
1,Filmic,Above & Beyond,filmic.mp3,/Users/mamingchen/GitHub/djprojectexploration/music/aries-mix/filmic.mp3,5A,130,0.526,chillout,-1.0,aries-mix,1
2,Ice Beach,"Niklas Harding, Arcane",Ice Beach (Original Mix).mp3,/Users/mamingchen/GitHub/djprojectexploration/music/ara-mix/Ice Beach (Original Mix).mp3,8A,132,,progressive trance,,ara-mix,14
