track_number,title,artists,mp3_name,filepath,key,bpm,onset-time,genre,key shift,source_mix,source_track_number
1,Wizard (Original Mix),Martin Garrix/Jay Hardway,Martin Garrix; Jay Hardway - Wizard (Original Mix).mp3,/Users/mamingchen/GitHub/djprojectexploration/music/warren/Martin Garrix; Jay Hardway - Wizard (Original Mix).mp3,,128,,,,warren,6
2,Bouncybob,Martin Garrix/Justin Mylo/Mesto,Martin Garrix; Justin Mylo; Mesto - Bouncybob.mp3,/Users/mamingchen/GitHub/djprojectexploration/music/warren/Martin Garrix; Justin Mylo; Mesto - Bouncybob.mp3,,128,,,,warren,10
