track_number,title,artists,mp3_name,filepath,key,bpm,onset-time,genre,key shift,source_mix,source_track_number
1,Perception (Vocal Mix),Cass & Slide,Perception (New Vocal Mix).mp3,/Users/mamingchen/GitHub/djprojectexploration/music/ara-mix/Perception (New Vocal Mix).mp3,8A,131,,trance,,ara-mix,23
2,Filmic,Above & Beyond,filmic.mp3,/Users/mamingchen/GitHub/djprojectexploration/music/aries-mix/filmic.mp3,5A,130,0.526,chillout,-1.0,aries-mix,1
