Model,PCA/view,CV folds,MAE,MAE std,RMSE,R2,R2 std,Corr,Train MAE,MAE gap,Median alpha,Raw model name
MAEST full,64,25,0.7402219276177943,0.07776794381614603,0.9355091931735529,0.8269297423537659,0.03627913215836012,0.9170681312596218,0.5099471047542715,0.23027482286352274,464.1588833612773,maest_full_pca64
MAEST peak30,64,25,0.735135728989716,0.10442930368516781,0.9222854921112349,0.8316601204314881,0.03923158091513946,0.9188744463373637,0.479259976471571,0.25587575251814504,100.0,maest_peak30_pca64
MAEST full + peak30,64,25,0.7018176119203997,0.08681908879433575,0.885721339693454,0.8446564349882223,0.03619207875608051,0.9253872549200153,0.4128309154289888,0.2889866964914109,464.1588833612773,maest_full_plus_peak30_pca64
Handcrafted + MAEST full + peak30,64,25,0.700153763555203,0.08513275540730147,0.8853567331299128,0.8446904739345414,0.036762463382607705,0.9254149859034092,0.4059967688813192,0.2941569946738838,464.1588833612773,small_handcrafted_plus_maest_full_peak30_pca64
